Bibliography,Species,Refid,Publicationyear,Modelsystem,Strainorpatienttype,Sex,Age,Route,Duration,Durationunit,Drug,Purity,Control,Vehicle,Compound,Endpointtype,Endpointname,Endpointunits,Tissue/sex,DailyDose,UnitofDose,Timepoint,"Numberofexperimentalunits(animals,humans)",Effectvalue,Variability,UnitofVariability,note,Histopathcall,study_ID
"Rothwell, C.,McGuire, E. J.,Altrogge, D. M.,Masuda, H.,de la Iglesia, F. A..  Chronic toxicity in monkeys with the thiazolidinedione antidiabetic agent troglitazone. J Toxicol Sci.  2002. 27:35-47",Non-human primate,246,2002,Experimental animal,Cynomolgus monkeys ( Macaca fascicularis ),Male + Female,2 to 6 years old and weighed 2.6 to 3.5 kg,Gavage,52,Weeks,Troglitazone/Rezulin,"Doses were based on active drug moiety of 56.7%.. an amorphous coprecipitate with povidone, poly- ethylene glycol 400, and polysorbate 80",,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/l,Female,0,mg/kg,3 months,4,62,25.6,SD,,,19
"Rothwell, C.,McGuire, E. J.,Altrogge, D. M.,Masuda, H.,de la Iglesia, F. A..  Chronic toxicity in monkeys with the thiazolidinedione antidiabetic agent troglitazone. J Toxicol Sci.  2002. 27:35-47",Non-human primate,246,2002,Experimental animal,Cynomolgus monkeys ( Macaca fascicularis ),Male + Female,2 to 6 years old and weighed 2.6 to 3.5 kg,Gavage,52,Weeks,Troglitazone/Rezulin,"Doses were based on active drug moiety of 56.7%.. an amorphous coprecipitate with povidone, poly- ethylene glycol 400, and polysorbate 80",,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/l,Female,0,mg/kg,6 months,4,66,21.3,SD,,,19
"Rothwell, C.,McGuire, E. J.,Altrogge, D. M.,Masuda, H.,de la Iglesia, F. A..  Chronic toxicity in monkeys with the thiazolidinedione antidiabetic agent troglitazone. J Toxicol Sci.  2002. 27:35-47",Non-human primate,246,2002,Experimental animal,Cynomolgus monkeys ( Macaca fascicularis ),Male + Female,2 to 6 years old and weighed 2.6 to 3.5 kg,Gavage,52,Weeks,Troglitazone/Rezulin,"Doses were based on active drug moiety of 56.7%.. an amorphous coprecipitate with povidone, poly- ethylene glycol 400, and polysorbate 80",,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/l,Female,0,mg/kg,9 months,4,57,20.7,SD,,,19
"Rothwell, C.,McGuire, E. J.,Altrogge, D. M.,Masuda, H.,de la Iglesia, F. A..  Chronic toxicity in monkeys with the thiazolidinedione antidiabetic agent troglitazone. J Toxicol Sci.  2002. 27:35-47",Non-human primate,246,2002,Experimental animal,Cynomolgus monkeys ( Macaca fascicularis ),Male + Female,2 to 6 years old and weighed 2.6 to 3.5 kg,Gavage,52,Weeks,Troglitazone/Rezulin,"Doses were based on active drug moiety of 56.7%.. an amorphous coprecipitate with povidone, poly- ethylene glycol 400, and polysorbate 80",,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/l,Female,0,mg/kg,12 months,4,69,36.8,SD,,,19
"Rothwell, C.,McGuire, E. J.,Altrogge, D. M.,Masuda, H.,de la Iglesia, F. A..  Chronic toxicity in monkeys with the thiazolidinedione antidiabetic agent troglitazone. J Toxicol Sci.  2002. 27:35-47",Non-human primate,246,2002,Experimental animal,Cynomolgus monkeys ( Macaca fascicularis ),Male + Female,2 to 6 years old and weighed 2.6 to 3.5 kg,Gavage,52,Weeks,Troglitazone/Rezulin,"Doses were based on active drug moiety of 56.7%.. an amorphous coprecipitate with povidone, poly- ethylene glycol 400, and polysorbate 80",,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/l,Female,300,mg/kg,0,4,44,5.2,SD,,,19
"Rothwell, C.,McGuire, E. J.,Altrogge, D. M.,Masuda, H.,de la Iglesia, F. A..  Chronic toxicity in monkeys with the thiazolidinedione antidiabetic agent troglitazone. J Toxicol Sci.  2002. 27:35-47",Non-human primate,246,2002,Experimental animal,Cynomolgus monkeys ( Macaca fascicularis ),Male + Female,2 to 6 years old and weighed 2.6 to 3.5 kg,Gavage,52,Weeks,Troglitazone/Rezulin,"Doses were based on active drug moiety of 56.7%.. an amorphous coprecipitate with povidone, poly- ethylene glycol 400, and polysorbate 80",,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/l,Female,300,mg/kg,3 months,4,42,7.1,SD,,,19
"Rothwell, C.,McGuire, E. J.,Altrogge, D. M.,Masuda, H.,de la Iglesia, F. A..  Chronic toxicity in monkeys with the thiazolidinedione antidiabetic agent troglitazone. J Toxicol Sci.  2002. 27:35-47",Non-human primate,246,2002,Experimental animal,Cynomolgus monkeys ( Macaca fascicularis ),Male + Female,2 to 6 years old and weighed 2.6 to 3.5 kg,Gavage,52,Weeks,Troglitazone/Rezulin,"Doses were based on active drug moiety of 56.7%.. an amorphous coprecipitate with povidone, poly- ethylene glycol 400, and polysorbate 80",,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/l,Female,300,mg/kg,6 months,4,47,10.8,SD,,,19
"Rothwell, C.,McGuire, E. J.,Altrogge, D. M.,Masuda, H.,de la Iglesia, F. A..  Chronic toxicity in monkeys with the thiazolidinedione antidiabetic agent troglitazone. J Toxicol Sci.  2002. 27:35-47",Non-human primate,246,2002,Experimental animal,Cynomolgus monkeys ( Macaca fascicularis ),Male + Female,2 to 6 years old and weighed 2.6 to 3.5 kg,Gavage,52,Weeks,Troglitazone/Rezulin,"Doses were based on active drug moiety of 56.7%.. an amorphous coprecipitate with povidone, poly- ethylene glycol 400, and polysorbate 80",,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/l,Female,300,mg/kg,9 months,4,43,8,SD,,,19
"Rothwell, C.,McGuire, E. J.,Altrogge, D. M.,Masuda, H.,de la Iglesia, F. A..  Chronic toxicity in monkeys with the thiazolidinedione antidiabetic agent troglitazone. J Toxicol Sci.  2002. 27:35-47",Non-human primate,246,2002,Experimental animal,Cynomolgus monkeys ( Macaca fascicularis ),Male + Female,2 to 6 years old and weighed 2.6 to 3.5 kg,Gavage,52,Weeks,Troglitazone/Rezulin,"Doses were based on active drug moiety of 56.7%.. an amorphous coprecipitate with povidone, poly- ethylene glycol 400, and polysorbate 80",,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/l,Female,300,mg/kg,12 months,4,47,12.6,SD,,,19
"Rothwell, C.,McGuire, E. J.,Altrogge, D. M.,Masuda, H.,de la Iglesia, F. A..  Chronic toxicity in monkeys with the thiazolidinedione antidiabetic agent troglitazone. J Toxicol Sci.  2002. 27:35-47",Non-human primate,246,2002,Experimental animal,Cynomolgus monkeys ( Macaca fascicularis ),Male + Female,2 to 6 years old and weighed 2.6 to 3.5 kg,Gavage,52,Weeks,Troglitazone/Rezulin,"Doses were based on active drug moiety of 56.7%.. an amorphous coprecipitate with povidone, poly- ethylene glycol 400, and polysorbate 80",,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/l,Female,600,mg/kg,0,4,50,21.5,SD,,,19
"Rothwell, C.,McGuire, E. J.,Altrogge, D. M.,Masuda, H.,de la Iglesia, F. A..  Chronic toxicity in monkeys with the thiazolidinedione antidiabetic agent troglitazone. J Toxicol Sci.  2002. 27:35-47",Non-human primate,246,2002,Experimental animal,Cynomolgus monkeys ( Macaca fascicularis ),Male + Female,2 to 6 years old and weighed 2.6 to 3.5 kg,Gavage,52,Weeks,Troglitazone/Rezulin,"Doses were based on active drug moiety of 56.7%.. an amorphous coprecipitate with povidone, poly- ethylene glycol 400, and polysorbate 80",,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/l,Female,600,mg/kg,3 months,4,39,12.8,SD,,,19
"Rothwell, C.,McGuire, E. J.,Altrogge, D. M.,Masuda, H.,de la Iglesia, F. A..  Chronic toxicity in monkeys with the thiazolidinedione antidiabetic agent troglitazone. J Toxicol Sci.  2002. 27:35-47",Non-human primate,246,2002,Experimental animal,Cynomolgus monkeys ( Macaca fascicularis ),Male + Female,2 to 6 years old and weighed 2.6 to 3.5 kg,Gavage,52,Weeks,Troglitazone/Rezulin,"Doses were based on active drug moiety of 56.7%.. an amorphous coprecipitate with povidone, poly- ethylene glycol 400, and polysorbate 80",,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/l,Female,600,mg/kg,6 months,4,45,15.9,SD,,,19
"Rothwell, C.,McGuire, E. J.,Altrogge, D. M.,Masuda, H.,de la Iglesia, F. A..  Chronic toxicity in monkeys with the thiazolidinedione antidiabetic agent troglitazone. J Toxicol Sci.  2002. 27:35-47",Non-human primate,246,2002,Experimental animal,Cynomolgus monkeys ( Macaca fascicularis ),Male + Female,2 to 6 years old and weighed 2.6 to 3.5 kg,Gavage,52,Weeks,Troglitazone/Rezulin,"Doses were based on active drug moiety of 56.7%.. an amorphous coprecipitate with povidone, poly- ethylene glycol 400, and polysorbate 80",,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/l,Female,600,mg/kg,9 months,4,45,14.2,SD,,,19
"Rothwell, C.,McGuire, E. J.,Altrogge, D. M.,Masuda, H.,de la Iglesia, F. A..  Chronic toxicity in monkeys with the thiazolidinedione antidiabetic agent troglitazone. J Toxicol Sci.  2002. 27:35-47",Non-human primate,246,2002,Experimental animal,Cynomolgus monkeys ( Macaca fascicularis ),Male + Female,2 to 6 years old and weighed 2.6 to 3.5 kg,Gavage,52,Weeks,Troglitazone/Rezulin,"Doses were based on active drug moiety of 56.7%.. an amorphous coprecipitate with povidone, poly- ethylene glycol 400, and polysorbate 80",,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/l,Female,600,mg/kg,12 months,4,39,15.6,SD,,,19
"Rothwell, C.,McGuire, E. J.,Altrogge, D. M.,Masuda, H.,de la Iglesia, F. A..  Chronic toxicity in monkeys with the thiazolidinedione antidiabetic agent troglitazone. J Toxicol Sci.  2002. 27:35-47",Non-human primate,246,2002,Experimental animal,Cynomolgus monkeys ( Macaca fascicularis ),Male + Female,2 to 6 years old and weighed 2.6 to 3.5 kg,Gavage,52,Weeks,Troglitazone/Rezulin,"Doses were based on active drug moiety of 56.7%.. an amorphous coprecipitate with povidone, poly- ethylene glycol 400, and polysorbate 80",,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/l,Female,1200,mg/kg,0,4,56,14.6,SD,,,19
"Rothwell, C.,McGuire, E. J.,Altrogge, D. M.,Masuda, H.,de la Iglesia, F. A..  Chronic toxicity in monkeys with the thiazolidinedione antidiabetic agent troglitazone. J Toxicol Sci.  2002. 27:35-47",Non-human primate,246,2002,Experimental animal,Cynomolgus monkeys ( Macaca fascicularis ),Male + Female,2 to 6 years old and weighed 2.6 to 3.5 kg,Gavage,52,Weeks,Troglitazone/Rezulin,"Doses were based on active drug moiety of 56.7%.. an amorphous coprecipitate with povidone, poly- ethylene glycol 400, and polysorbate 80",,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/l,Female,1200,mg/kg,3 months,4,39,8.6,SD,,,19
"Rothwell, C.,McGuire, E. J.,Altrogge, D. M.,Masuda, H.,de la Iglesia, F. A..  Chronic toxicity in monkeys with the thiazolidinedione antidiabetic agent troglitazone. J Toxicol Sci.  2002. 27:35-47",Non-human primate,246,2002,Experimental animal,Cynomolgus monkeys ( Macaca fascicularis ),Male + Female,2 to 6 years old and weighed 2.6 to 3.5 kg,Gavage,52,Weeks,Troglitazone/Rezulin,"Doses were based on active drug moiety of 56.7%.. an amorphous coprecipitate with povidone, poly- ethylene glycol 400, and polysorbate 80",,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/l,Female,1200,mg/kg,6 months,4,36,14.6,SD,,,19
"Rothwell, C.,McGuire, E. J.,Altrogge, D. M.,Masuda, H.,de la Iglesia, F. A..  Chronic toxicity in monkeys with the thiazolidinedione antidiabetic agent troglitazone. J Toxicol Sci.  2002. 27:35-47",Non-human primate,246,2002,Experimental animal,Cynomolgus monkeys ( Macaca fascicularis ),Male + Female,2 to 6 years old and weighed 2.6 to 3.5 kg,Gavage,52,Weeks,Troglitazone/Rezulin,"Doses were based on active drug moiety of 56.7%.. an amorphous coprecipitate with povidone, poly- ethylene glycol 400, and polysorbate 80",,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/l,Female,1200,mg/kg,9 months,4,37,6.9,SD,,,19
"Rothwell, C.,McGuire, E. J.,Altrogge, D. M.,Masuda, H.,de la Iglesia, F. A..  Chronic toxicity in monkeys with the thiazolidinedione antidiabetic agent troglitazone. J Toxicol Sci.  2002. 27:35-47",Non-human primate,246,2002,Experimental animal,Cynomolgus monkeys ( Macaca fascicularis ),Male + Female,2 to 6 years old and weighed 2.6 to 3.5 kg,Gavage,52,Weeks,Troglitazone/Rezulin,"Doses were based on active drug moiety of 56.7%.. an amorphous coprecipitate with povidone, poly- ethylene glycol 400, and polysorbate 80",,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/l,Female,1200,mg/kg,12 months,4,46,9.2,SD,,,19
"Schafer, H. L.,Linz, W.,Falk, E.,Glien, M.,Glombik, H.,Korn, M.,Wendler, W.,Herling, A. W.,Rutten, H..  AVE8134, a novel potent PPARalpha agonist, improves lipid profile and glucose metabolism in dyslipidemic mice and type 2 diabetic rats. Acta Pharmacol Sin.  2012. 33:82-90",Rat,254,2012,Experimental animal,ZDF,Male,7 weeks,Gavage,8,Weeks,Rosiglitazone/Avandia,,,,Rosiglitazone/Avandia,LFT,ALT,U/L,Male,0,mg/kg,8 weeks,na,52,2,SE,,,26
"Schafer, H. L.,Linz, W.,Falk, E.,Glien, M.,Glombik, H.,Korn, M.,Wendler, W.,Herling, A. W.,Rutten, H..  AVE8134, a novel potent PPARalpha agonist, improves lipid profile and glucose metabolism in dyslipidemic mice and type 2 diabetic rats. Acta Pharmacol Sin.  2012. 33:82-90",Rat,254,2012,Experimental animal,ZDF,Male,7 weeks,Gavage,8,Weeks,Rosiglitazone/Avandia,,,,Rosiglitazone/Avandia,LFT,ALT,U/L,Male,3,mg/kg,8 weeks,na,81,3,SE,,,26
"Schulz-Utermoehl, T.,Sarda, S.,Foster, J. R.,Jacobsen, M.,Kenna, J. G.,Morikawa, Y.,Salmu, J.,Gross, G.,Wilson, I. D..  Evaluation of the pharmacokinetics, biotransformation and hepatic transporter effects of troglitazone in mice with humanized livers. Xenobiotica.  2012. 42:503-517",Mouse,257,2012,Experimental animal,SCID,Male + Female,"10–14
weeks",Gavage,7,Days,Troglitazone/Rezulin,,,0.5% (w/v) hydroxypropyl methylcellulose (HPMC) in 0.1% (w/v) aqueous polysorbate 80 suspension,Troglitazone/Rezulin,LFT,ALT,IU/L,Liver/Male,300,mg/kg,Day 7,4,45,20,SD,,,17
"Schulz-Utermoehl, T.,Sarda, S.,Foster, J. R.,Jacobsen, M.,Kenna, J. G.,Morikawa, Y.,Salmu, J.,Gross, G.,Wilson, I. D..  Evaluation of the pharmacokinetics, biotransformation and hepatic transporter effects of troglitazone in mice with humanized livers. Xenobiotica.  2012. 42:503-517",Mouse,257,2012,Experimental animal,SCID,Male + Female,"10–14
weeks",Gavage,7,Days,Troglitazone/Rezulin,,,0.5% (w/v) hydroxypropyl methylcellulose (HPMC) in 0.1% (w/v) aqueous polysorbate 80 suspension,Troglitazone/Rezulin,LFT,ALT,IU/L,Liver/Male,600,mg/kg,Day 7,4,25,4,SD,,,17
"Spicker, J. S.,Pedersen, H. T.,Nielsen, H. B.,Brunak, S..  Analysis of cell death inducing compounds. Arch Toxicol.  2007. 81:803-11",Rat,269,2007,Experimental animal,Sprague-Dawley,Male,5-6 weeks + 6 days,p.o.,1,Single dose,Rosiglitazone/Avandia,,,Methylcellulose solution,Rosiglitazone/Avandia,LFT,ALT,counts,Blood,0,mg/kg,single dose,9,54,7.2,SD,,,27
"Spicker, J. S.,Pedersen, H. T.,Nielsen, H. B.,Brunak, S..  Analysis of cell death inducing compounds. Arch Toxicol.  2007. 81:803-11",Rat,269,2007,Experimental animal,Sprague-Dawley,Male,5-6 weeks + 6 days,p.o.,1,Single dose,Rosiglitazone/Avandia,,,Methylcellulose solution,Rosiglitazone/Avandia,LFT,ALT,counts,Blood,1000,mg/kg,single dose,5,60,3.6,SD,,,27
"Watanabe, T.,Furukawa, T.,Sharyo, S.,Ohashi, Y.,Yasuda, M.,Takaoka, M.,Manabe, S..  Effect of troglitazone on the liver of a Gunn rat model of genetic enzyme polymorphism. J Toxicol Sci.  2000. 25:423-31",Rat,307,2000,Experimental animal,Wistar,Male + Female,7 weeks,p.o.,94,Days,Troglitazone/Rezulin,N/A,,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/L,Male,0,mg/kg,94 days,5,75.6,19,SD,,,28
"Watanabe, T.,Furukawa, T.,Sharyo, S.,Ohashi, Y.,Yasuda, M.,Takaoka, M.,Manabe, S..  Effect of troglitazone on the liver of a Gunn rat model of genetic enzyme polymorphism. J Toxicol Sci.  2000. 25:423-31",Rat,307,2000,Experimental animal,Wistar,Male + Female,7 weeks,p.o.,94,Days,Troglitazone/Rezulin,N/A,,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/L,Male,100,mg/kg,94 days,5,53.4,9.3,SD,,,28
"Watanabe, T.,Furukawa, T.,Sharyo, S.,Ohashi, Y.,Yasuda, M.,Takaoka, M.,Manabe, S..  Effect of troglitazone on the liver of a Gunn rat model of genetic enzyme polymorphism. J Toxicol Sci.  2000. 25:423-31",Rat,307,2000,Experimental animal,Wistar,Male + Female,7 weeks,p.o.,94,Days,Troglitazone/Rezulin,N/A,,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/L,Male,400,mg/kg,94 days,5,52,4.3,SD,,,28
"Watanabe, T.,Furukawa, T.,Sharyo, S.,Ohashi, Y.,Yasuda, M.,Takaoka, M.,Manabe, S..  Effect of troglitazone on the liver of a Gunn rat model of genetic enzyme polymorphism. J Toxicol Sci.  2000. 25:423-31",Rat,307,2000,Experimental animal,Wistar,Male + Female,7 weeks,p.o.,94,Days,Troglitazone/Rezulin,N/A,,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/L,Female,0,mg/kg,94 days,5,88.8,10.9,SD,,,28
"Watanabe, T.,Furukawa, T.,Sharyo, S.,Ohashi, Y.,Yasuda, M.,Takaoka, M.,Manabe, S..  Effect of troglitazone on the liver of a Gunn rat model of genetic enzyme polymorphism. J Toxicol Sci.  2000. 25:423-31",Rat,307,2000,Experimental animal,Wistar,Male + Female,7 weeks,p.o.,94,Days,Troglitazone/Rezulin,N/A,,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/L,Female,100,mg/kg,94 days,5,72.2,11.3,SD,,,28
"Watanabe, T.,Furukawa, T.,Sharyo, S.,Ohashi, Y.,Yasuda, M.,Takaoka, M.,Manabe, S..  Effect of troglitazone on the liver of a Gunn rat model of genetic enzyme polymorphism. J Toxicol Sci.  2000. 25:423-31",Rat,307,2000,Experimental animal,Wistar,Male + Female,7 weeks,p.o.,94,Days,Troglitazone/Rezulin,N/A,,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/L,Female,400,mg/kg,94 days,5,69.2,11.9,SD,,,28
