combinedID,comparedID,samplesize_treated,MeanofEffectvalue_treated,Meanofvaribility_treated,samplesize_control,MeanofEffectvalue_control,Meanofvaribility_control,Bibliography,Year,Species,Endpointname,Drug,UnitofDose,UnitofVariability,t,SE,Effectsize,UL,LL
1.1,1.1.1,12,28.8,16.86,12,29.42,24.05,"Aramwit, P.,Bunmee, P.,Supasyndh, O..  Effectiveness and tolerability of rosiglitazone on insulin resistance and body composition in nondiabetic Thai patients undergoing continuous ambulatory peritoneal dialysis: A 12-week pilot study. Current Therapeutic Research - Clinical and Experimental.  2009. 70:377-389",2009,Human,AST,Rosiglitazone/Avandia,mg,SD,2.073873068,23.86090544,-0.62,48.86448916,-50.10448916
100.1,100.1.1,5,0.038,0.156524758,10,0.038,0.006324555,"Egerod, F. L.,Brunner, N.,Svendsen, J. E.,Oleksiewicz, M. B..  PPAR alpha and PPAR gamma are co-expressed, functional and show positive interactions in the rat urinary bladder urothelium. Journal of Applied Toxicology.  2010. 30:151-162",2010,Rat,"Liver weight, relative",Rosiglitazone/Avandia,mg/kg,SD,2.160368656,0.171488506,0,0.370478393,-0.370478393
100.1,100.1.2,5,0.037,0.002236068,10,0.038,0.006324555,"Egerod, F. L.,Brunner, N.,Svendsen, J. E.,Oleksiewicz, M. B..  PPAR alpha and PPAR gamma are co-expressed, functional and show positive interactions in the rat urinary bladder urothelium. Journal of Applied Toxicology.  2010. 30:151-162",2010,Rat,"Liver weight, relative",Rosiglitazone/Avandia,mg/kg,SD,2.160368656,0.003782551,-0.001,0.007171705,-0.009171705
101.1,101.1.1,5,12.5,5.590169944,10,12.5,7.90569415,"Egerod, F. L.,Brunner, N.,Svendsen, J. E.,Oleksiewicz, M. B..  PPAR alpha and PPAR gamma are co-expressed, functional and show positive interactions in the rat urinary bladder urothelium. Journal of Applied Toxicology.  2010. 30:151-162",2010,Rat,"Liver weight, absolute",Rosiglitazone/Avandia,mg/kg,SD,2.160368656,7.104982001,0,15.34938042,-15.34938042
101.1,101.1.2,5,12,2.236067977,10,12.5,7.90569415,"Egerod, F. L.,Brunner, N.,Svendsen, J. E.,Oleksiewicz, M. B..  PPAR alpha and PPAR gamma are co-expressed, functional and show positive interactions in the rat urinary bladder urothelium. Journal of Applied Toxicology.  2010. 30:151-162",2010,Rat,"Liver weight, absolute",Rosiglitazone/Avandia,mg/kg,SD,2.160368656,4.356692465,-0.5,8.912061846,-9.912061846
108.1,108.1.1,8,14.3,0.848528137,8,19.45,2.121320344,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,"Liver weight, absolute",Troglitazone/Rezulin,mg/100g,SD,2.144786688,1.35,-5.15,-2.254537971,-8.045462029
108.1,108.1.2,8,19.6,1.414213562,8,19.45,2.121320344,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,"Liver weight, absolute",Troglitazone/Rezulin,mg/100g,SD,2.144786688,2.015564437,0.15,4.472955773,-4.172955773
108.1,108.1.3,8,13.1,1.697056275,8,19.45,2.121320344,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,"Liver weight, absolute",Troglitazone/Rezulin,mg/100g,SD,2.144786688,2.366960076,-6.35,-1.273375539,-11.42662446
108.1,108.1.4,8,19.5,1.697056275,8,19.45,2.121320344,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,"Liver weight, absolute",Troglitazone/Rezulin,mg/100g,SD,2.144786688,2.366960076,0.05,5.126624461,-5.026624461
109.1,109.1.1,8,25.9,0.565685425,8,31.1,3.676955262,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,"Liver weight, relative",Troglitazone/Rezulin,mg/100g,SD,2.144786688,1.5,-5.2,-1.982819968,-8.417180032
109.1,109.1.2,8,27.6,1.414213562,8,31.1,3.676955262,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,"Liver weight, relative",Troglitazone/Rezulin,mg/100g,SD,2.144786688,2.27815715,-3.5,1.386161128,-8.386161128
109.1,109.1.3,8,24.8,1.979898987,8,31.1,3.676955262,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,"Liver weight, relative",Troglitazone/Rezulin,mg/100g,SD,2.144786688,2.924038303,-6.3,-0.028561572,-12.57143843
109.1,109.1.4,8,27.7,1.13137085,8,31.1,3.676955262,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,"Liver weight, relative",Troglitazone/Rezulin,mg/100g,SD,2.144786688,1.98242276,-3.4,0.851873946,-7.651873946
110.1,110.1.1,8,76.4,7.353910524,8,83.35,14.8492424,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,AST,Troglitazone/Rezulin,mg/100g,SD,2.144786688,11.05452396,-6.95,16.75959583,-30.65959583
110.1,110.1.2,8,69,42.70924958,8,83.35,14.8492424,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,AST,Troglitazone/Rezulin,mg/100g,SD,2.144786688,56.7424224,-14.35,107.3503922,-136.0503922
110.1,110.1.3,8,82,5.656854249,8,83.35,14.8492424,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,AST,Troglitazone/Rezulin,mg/100g,SD,2.144786688,9.141252649,-1.35,18.25603699,-20.95603699
110.1,110.1.4,8,52.6,9.050966799,8,83.35,14.8492424,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,AST,Troglitazone/Rezulin,mg/100g,SD,2.144786688,13.07373321,-30.75,-2.709631054,-58.79036895
111.1,111.1.1,8,35.8,9.333809512,8,43.2,8.061017306,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,ALT,Troglitazone/Rezulin,mg/100g,SD,2.144786688,12.67211506,-7.4,19.77898368,-34.57898368
111.1,111.1.2,8,35,7.353910524,8,43.2,8.061017306,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,ALT,Troglitazone/Rezulin,mg/100g,SD,2.144786688,10.13718403,-8.2,13.54209735,-29.94209735
111.1,111.1.3,8,36,3.676955262,8,43.2,8.061017306,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,ALT,Troglitazone/Rezulin,mg/100g,SD,2.144786688,5.637597006,-7.2,4.89144301,-19.29144301
111.1,111.1.4,8,36.2,10.74802307,8,43.2,8.061017306,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,ALT,Troglitazone/Rezulin,mg/100g,SD,2.144786688,14.50112065,-7,24.10181052,-38.10181052
112.1,112.1.1,10,9.32,1.043551628,10,9.29,0.980306075,"Kakiuchi-Kiyota, S.,Arnold, L. L.,Yokohira, M.,Suzuki, S.,Pennington, K. L.,Cohen, S. M..  Evaluation of PPARgamma agonists on rodent endothelial cell proliferation. Toxicology.  2011. 287:91-8",2011,Rat,"Liver weight, absolute",Troglitazone/Rezulin,mg/kg,SD,2.10092204,1.433980474,0.03,3.042681183,-2.982681183
112.1,112.1.2,10,9.15,0.695701085,10,9.29,0.980306075,"Kakiuchi-Kiyota, S.,Arnold, L. L.,Yokohira, M.,Suzuki, S.,Pennington, K. L.,Cohen, S. M..  Evaluation of PPARgamma agonists on rodent endothelial cell proliferation. Toxicology.  2011. 287:91-8",2011,Rat,"Liver weight, absolute",Troglitazone/Rezulin,mg/kg,SD,2.10092204,0.983514108,-0.14,1.926286466,-2.206286466
113.1,113.1.1,10,35.35,1.612761607,10,36.89,2.624690458,"Kakiuchi-Kiyota, S.,Arnold, L. L.,Yokohira, M.,Suzuki, S.,Pennington, K. L.,Cohen, S. M..  Evaluation of PPARgamma agonists on rodent endothelial cell proliferation. Toxicology.  2011. 287:91-8",2011,Rat,"Liver weight, relative",Troglitazone/Rezulin,mg/kg,SD,2.10092204,2.317477076,-1.54,3.328838668,-6.408838668
113.1,113.1.2,10,36.01,2.276839915,10,36.89,2.624690458,"Kakiuchi-Kiyota, S.,Arnold, L. L.,Yokohira, M.,Suzuki, S.,Pennington, K. L.,Cohen, S. M..  Evaluation of PPARgamma agonists on rodent endothelial cell proliferation. Toxicology.  2011. 287:91-8",2011,Rat,"Liver weight, relative",Troglitazone/Rezulin,mg/kg,SD,2.10092204,3.165454154,-0.88,5.770372399,-7.530372399
114.1,114.1.1,4,0.375,0.092,4,0.33,0.052,"Kostrubsky, V. E.,Vore, M.,Kindt, E.,Burliegh, J.,Rogers, K.,Peter, G.,Altrogge, D.,Sinz, M. W..  The effect of troglitazone biliary excretion on metabolite distribution and cholestasis in transporter-deficient rats. Drug Metabolism and Disposition.  2001. 29:1561-1566",2001,Rat,Bilirubin (total),Troglitazone/Rezulin,mg/kg,SD,2.446911851,0.115637364,0.045,0.327954437,-0.237954437
114.1,114.1.2,4,0.23,0.048,4,0.33,0.052,"Kostrubsky, V. E.,Vore, M.,Kindt, E.,Burliegh, J.,Rogers, K.,Peter, G.,Altrogge, D.,Sinz, M. W..  The effect of troglitazone biliary excretion on metabolite distribution and cholestasis in transporter-deficient rats. Drug Metabolism and Disposition.  2001. 29:1561-1566",2001,Rat,Bilirubin (total),Troglitazone/Rezulin,mg/kg,SD,2.446911851,0.064280635,-0.1,0.057289047,-0.257289047
115.1,115.1.1,5,10.6,1,5,11,1.5,"Li, J.,Kaneko, T.,Wang, Y.,Qin, L. Q.,Wang, P. Y.,Sato, A..  Troglitazone enhances the hepatotoxicity of acetaminophen by inducing CYP3A in rats. Toxicology.  2002. 176:91-100",2002,Rat,ALT,Troglitazone/Rezulin,mg/kg,SD,2.306004135,1.431782106,-0.4,2.901695458,-3.701695458
115.1,115.1.2,5,11.8,1.9,5,11,1.5,"Li, J.,Kaneko, T.,Wang, Y.,Qin, L. Q.,Wang, P. Y.,Sato, A..  Troglitazone enhances the hepatotoxicity of acetaminophen by inducing CYP3A in rats. Toxicology.  2002. 176:91-100",2002,Rat,ALT,Troglitazone/Rezulin,mg/kg,SD,2.306004135,2.495195383,0.8,6.553930872,-4.953930872
116.1,116.1.1,5,51.3,11,5,48.8,4.1,"Li, J.,Kaneko, T.,Wang, Y.,Qin, L. Q.,Wang, P. Y.,Sato, A..  Troglitazone enhances the hepatotoxicity of acetaminophen by inducing CYP3A in rats. Toxicology.  2002. 176:91-100",2002,Rat,AST,Troglitazone/Rezulin,mg/kg,SD,2.306004135,14.03431509,2.5,34.86318863,-29.86318863
116.1,116.1.2,5,53.4,3.2,5,48.8,4.1,"Li, J.,Kaneko, T.,Wang, Y.,Qin, L. Q.,Wang, P. Y.,Sato, A..  Troglitazone enhances the hepatotoxicity of acetaminophen by inducing CYP3A in rats. Toxicology.  2002. 176:91-100",2002,Rat,AST,Troglitazone/Rezulin,mg/kg,SD,2.306004135,4.443647151,4.6,14.8470687,-5.647068705
117.1,117.1.1,10,77,15.85,10,108.33,10.11,"Liu, S.,Wu, H. J.,Zhang, Z. Q.,Chen, Q.,Liu, B.,Wu, J. P.,Zhu, L..  The ameliorating effect of rosiglitazone on experimental nonalcoholic steatohepatitis is associated with regulating adiponectin receptor expression in rats. Eur J Pharmacol.  2011. 650:384-9",2011,Rat,ALT,Rosiglitazone/Avandia,mg/kg,SD,2.10092204,21.50399289,-31.33,13.84821261,-76.50821261
118.1,118.1.1,10,78.3,25.64,10,164.33,33.54,"Liu, S.,Wu, H. J.,Zhang, Z. Q.,Chen, Q.,Liu, B.,Wu, J. P.,Zhu, L..  The ameliorating effect of rosiglitazone on experimental nonalcoholic steatohepatitis is associated with regulating adiponectin receptor expression in rats. Eur J Pharmacol.  2011. 650:384-9",2011,Rat,AST,Rosiglitazone/Avandia,mg/kg,SD,2.10092204,35.99764492,-86.03,-10.40175438,-161.6582456
120.1,120.1.1,10,86.8,25.64,10,91.11,19.63,"Liu, S.,Wu, H. J.,Zhang, Z. Q.,Chen, Q.,Liu, B.,Wu, J. P.,Zhu, L..  The ameliorating effect of rosiglitazone on experimental nonalcoholic steatohepatitis is associated with regulating adiponectin receptor expression in rats. Eur J Pharmacol.  2011. 650:384-9",2011,Rat,Gamma-glutamyl transferase (γGT),Rosiglitazone/Avandia,mg/kg,SD,2.10092204,34.95527099,-4.31,69.12829925,-77.74829925
122.1,122.1.1,6,45,7.348469228,6,42,75.93418203,"Meghani, N. M.,Barve, K.,Wackchaure, S.,Nandanwar, M. B.,Latad, S.,Mankani, H..  Toxicity assessment of clarithromycin in diabetic wistar rats treated with rosiglitazone. International Journal of Pharmaceutical Sciences and Research.  2012. 3:2623-2632",2012,Rat,ALT,Rosiglitazone/Avandia,mg/kg,SD,2.228138852,32.41913015,3,75.23432345,-69.23432345
123.1,123.1.1,6,190,29.39387691,6,145,110.2270384,"Meghani, N. M.,Barve, K.,Wackchaure, S.,Nandanwar, M. B.,Latad, S.,Mankani, H..  Toxicity assessment of clarithromycin in diabetic wistar rats treated with rosiglitazone. International Journal of Pharmaceutical Sciences and Research.  2012. 3:2623-2632",2012,Rat,ALP,Rosiglitazone/Avandia,mg/kg,SD,2.228138852,58.86425061,45,176.1577238,-86.15772378
124.1,124.1.1,6,160,24.49489743,6,175,29.39387691,"Meghani, N. M.,Barve, K.,Wackchaure, S.,Nandanwar, M. B.,Latad, S.,Mankani, H..  Toxicity assessment of clarithromycin in diabetic wistar rats treated with rosiglitazone. International Journal of Pharmaceutical Sciences and Research.  2012. 3:2623-2632",2012,Rat,AST,Rosiglitazone/Avandia,mg/kg,SD,2.228138852,33.82306905,-15,60.36249425,-90.36249425
129.1,129.1.1,5,60,3.6,9,54,7.2,"Spicker, J. S.,Pedersen, H. T.,Nielsen, H. B.,Brunak, S..  Analysis of cell death inducing compounds. Arch Toxicol.  2007. 81:803-11",2007,Rat,ALT,Rosiglitazone/Avandia,mg/kg,SD,2.17881283,5.184592559,6,17.29625678,-5.296256784
130.1,130.1.1,5,109,14,9,104,16,"Spicker, J. S.,Pedersen, H. T.,Nielsen, H. B.,Brunak, S..  Analysis of cell death inducing compounds. Arch Toxicol.  2007. 81:803-11",2007,Rat,AST,Rosiglitazone/Avandia,mg/kg,SD,2.17881283,17.23390285,5,42.54944863,-32.54944863
132.1,132.1.1,5,62.8,10.3,5,82.2,14.95,"Watanabe, T.,Furukawa, T.,Sharyo, S.,Ohashi, Y.,Yasuda, M.,Takaoka, M.,Manabe, S..  Effect of troglitazone on the liver of a Gunn rat model of genetic enzyme polymorphism. J Toxicol Sci.  2000. 25:423-31",2000,Rat,ALT,Troglitazone/Rezulin,mg/kg,SD,2.306004135,14.64392365,-19.4,14.3689485,-53.1689485
132.1,132.1.2,5,60.6,8.1,5,82.2,14.95,"Watanabe, T.,Furukawa, T.,Sharyo, S.,Ohashi, Y.,Yasuda, M.,Takaoka, M.,Manabe, S..  Effect of troglitazone on the liver of a Gunn rat model of genetic enzyme polymorphism. J Toxicol Sci.  2000. 25:423-31",2000,Rat,ALT,Troglitazone/Rezulin,mg/kg,SD,2.306004135,12.23423475,-21.6,6.612195932,-49.81219593
133.1,133.1.1,5,96.8,10.65,5,130.8,25.8,"Watanabe, T.,Furukawa, T.,Sharyo, S.,Ohashi, Y.,Yasuda, M.,Takaoka, M.,Manabe, S..  Effect of troglitazone on the liver of a Gunn rat model of genetic enzyme polymorphism. J Toxicol Sci.  2000. 25:423-31",2000,Rat,AST,Troglitazone/Rezulin,mg/kg,SD,2.306004135,17.7370798,-34,6.901779376,-74.90177938
133.1,133.1.2,5,85.7,6.35,5,130.8,25.8,"Watanabe, T.,Furukawa, T.,Sharyo, S.,Ohashi, Y.,Yasuda, M.,Takaoka, M.,Manabe, S..  Effect of troglitazone on the liver of a Gunn rat model of genetic enzyme polymorphism. J Toxicol Sci.  2000. 25:423-31",2000,Rat,AST,Troglitazone/Rezulin,mg/kg,SD,2.306004135,14.05859168,-45.1,-12.68082945,-77.51917055
134.1,134.1.1,5,922.7,81.55,5,816.8,88.8,"Watanabe, T.,Furukawa, T.,Sharyo, S.,Ohashi, Y.,Yasuda, M.,Takaoka, M.,Manabe, S..  Effect of troglitazone on the liver of a Gunn rat model of genetic enzyme polymorphism. J Toxicol Sci.  2000. 25:423-31",2000,Rat,ALP,Troglitazone/Rezulin,mg/kg,SD,2.306004135,110.53385,105.9,360.7915152,-148.9915152
134.1,134.1.2,5,949.2,47.4,5,816.8,88.8,"Watanabe, T.,Furukawa, T.,Sharyo, S.,Ohashi, Y.,Yasuda, M.,Takaoka, M.,Manabe, S..  Effect of troglitazone on the liver of a Gunn rat model of genetic enzyme polymorphism. J Toxicol Sci.  2000. 25:423-31",2000,Rat,ALP,Troglitazone/Rezulin,mg/kg,SD,2.306004135,71.91595094,132.4,298.2384803,-33.43848026
135.1,135.1.1,5,0.065,0.01,5,0.075,0.005,"Watanabe, T.,Furukawa, T.,Sharyo, S.,Ohashi, Y.,Yasuda, M.,Takaoka, M.,Manabe, S..  Effect of troglitazone on the liver of a Gunn rat model of genetic enzyme polymorphism. J Toxicol Sci.  2000. 25:423-31",2000,Rat,Bilirubin (total),Troglitazone/Rezulin,mg/kg,SD,2.306004135,0.012845233,-0.01,0.019621159,-0.039621159
135.1,135.1.2,5,0.07,0.005,5,0.075,0.005,"Watanabe, T.,Furukawa, T.,Sharyo, S.,Ohashi, Y.,Yasuda, M.,Takaoka, M.,Manabe, S..  Effect of troglitazone on the liver of a Gunn rat model of genetic enzyme polymorphism. J Toxicol Sci.  2000. 25:423-31",2000,Rat,Bilirubin (total),Troglitazone/Rezulin,mg/kg,SD,2.306004135,0.006708204,-0.005,0.010469146,-0.020469146
136.1,136.1.1,5,0.05,0.005,5,0.05,0.01,"Watanabe, T.,Furukawa, T.,Sharyo, S.,Ohashi, Y.,Yasuda, M.,Takaoka, M.,Manabe, S..  Effect of troglitazone on the liver of a Gunn rat model of genetic enzyme polymorphism. J Toxicol Sci.  2000. 25:423-31",2000,Rat,Bilirubin (direct),Troglitazone/Rezulin,mg/kg,SD,2.306004135,0.007745967,0,0.017862231,-0.017862231
136.1,136.1.2,5,0.045,0.01,5,0.05,0.01,"Watanabe, T.,Furukawa, T.,Sharyo, S.,Ohashi, Y.,Yasuda, M.,Takaoka, M.,Manabe, S..  Effect of troglitazone on the liver of a Gunn rat model of genetic enzyme polymorphism. J Toxicol Sci.  2000. 25:423-31",2000,Rat,Bilirubin (direct),Troglitazone/Rezulin,mg/kg,SD,2.306004135,0.013416408,-0.005,0.025938292,-0.035938292
